hm_name,交易次数,涉及股票数,交易天数,买入次数,卖出次数,平均交易金额,总交易金额,总买入金额,总卖出金额,净交易金额,涉及股票代码,涉及股票详情,最早交易日期,最晚交易日期
沪股通专用,6,6,1,5.0,6.0,10631982.58,63791895.48,132270906.2,188524611.28,-56253705.08,601022.SH|601718.SH|601975.SH|603322.SH|605099.SH|605198.SH,601022.SH(宁波远洋)|601718.SH(际华集团)|601975.SH(招商南油)|603322.SH(超讯通信)|605099.SH(共创草坪)|605198.SH(安德利),20250617,20250617
宁波桑田路,3,3,1,3.0,2.0,19860524.0,59581572.0,37145759.0,25653757.0,11492002.0,002828.SZ|300457.SZ|600227.SH,002828.SZ(贝肯能源)|300457.SZ(赢合科技)|600227.SH(赤天化),20250617,20250617
益田路,3,3,1,2.0,2.0,15680765.386666665,47042296.16,15493608.0,31768468.16,-16274860.16,002828.SZ|600792.SH|603716.SH,002828.SZ(贝肯能源)|600792.SH(云煤能源)|603716.SH(塞力医疗),20250617,20250617
量化抢筹,3,3,1,3.0,3.0,13452921.333333334,40358764.0,46027002.0,24787620.0,21239382.0,000554.SZ|002177.SZ|300157.SZ,000554.SZ(泰山石油)|002177.SZ(御银股份)|300157.SZ(新锦动力),20250617,20250617
越王大道,1,1,1,1.0,1.0,33398531.0,33398531.0,6500.0,33405031.0,-33398531.0,301141.SZ,301141.SZ(中科磁业),20250617,20250617
低位挖掘,2,2,1,2.0,2.0,15487745.365,30975490.73,3817237.17,34792727.9,-30975490.73,002104.SZ|870199.BJ,002104.SZ(恒宝股份)|870199.BJ(倍益康),20250617,20250617
上塘路,1,1,1,1.0,0.0,28288409.0,28288409.0,28288409.0,0.0,28288409.0,002678.SZ,002678.SZ(珠江钢琴),20250617,20250617
赵老哥,1,1,1,1.0,1.0,26978352.0,26978352.0,849818.0,27828170.0,-26978352.0,002828.SZ,002828.SZ(贝肯能源),20250617,20250617
天童南路,1,1,1,1.0,1.0,23698674.0,23698674.0,23780744.0,82070.0,23698674.0,002678.SZ,002678.SZ(珠江钢琴),20250617,20250617
广东帮,2,2,1,0.0,2.0,8059063.0,16118126.0,0.0,16118126.0,-16118126.0,600387.SH|605099.SH,600387.SH(退市海越)|605099.SH(共创草坪),20250617,20250617
