trade_date,ts_code,exalter,buy,buy_rate,sell,sell_rate,net_buy,side,reason
20250617,002017.SZ,东方财富证券股份有限公司昌都两江大道证券营业部,66888120.47,2.27,16576984.2,0.56,50311136.27,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,东方财富证券股份有限公司昌都两江大道证券营业部,65982083.81,2.8,13854010.2,0.59,52128073.61,0,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,国泰海通证券股份有限公司宜昌沿江大道证券营业部,52267834.0,1.78,56433230.13,1.92,-4165396.13,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,深股通专用,46218424.44,1.57,52843531.4,1.8,-6625106.96,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,35565056.7,1.21,11450354.09,0.39,24114702.61,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,34159379.52,1.16,16486507.7,0.56,17672871.82,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,33894930.7,1.44,8718875.09,0.37,25176055.61,0,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,31857989.54,1.35,11916856.7,0.5,19941132.84,0,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,甬兴证券有限公司深圳分公司,31394395.45,1.33,0.0,0.0,31394395.45,0,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,中信证券股份有限公司浙江分公司,29671512.37,1.26,4454567.8,0.19,25216944.57,0,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,国泰海通证券股份有限公司宜昌沿江大道证券营业部,52267834.0,1.78,56433230.13,1.92,-4165396.13,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,国泰海通证券股份有限公司宜昌沿江大道证券营业部,423271.0,0.02,56406690.13,2.39,-55983419.13,1,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,深股通专用,46218424.44,1.57,52843531.4,1.8,-6625106.96,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,深股通专用,19779520.67,0.84,44621599.8,1.89,-24842079.13,1,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,招商证券股份有限公司杭州天目山路证券营业部,19309096.0,0.66,23182885.5,0.79,-3873789.5,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,财通证券股份有限公司杭州文二西路证券营业部,1315744.0,0.04,23098797.2,0.79,-21783053.2,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,财通证券股份有限公司杭州文二西路证券营业部,1301239.0,0.06,23011635.2,0.98,-21710396.2,1,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,中国银河证券股份有限公司北京建国路证券营业部,4238660.71,0.14,22729230.0,0.77,-18490569.29,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002017.SZ,开源证券股份有限公司西安太华路证券营业部,5159203.4,0.22,21630735.34,0.92,-16471531.94,1,日涨幅偏离值达到7%的前5只证券
20250617,002017.SZ,招商证券股份有限公司杭州天目山路证券营业部,19248979.0,0.82,21415910.5,0.91,-2166931.5,1,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,深股通专用,220750376.22,3.26,213553455.0,3.15,7196921.22,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,100107743.0,1.48,102667858.0,1.52,-2560115.0,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,中信证券股份有限公司浙江分公司,94884369.0,1.4,54422458.0,0.8,40461911.0,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,东方财富证券股份有限公司昌都两江大道证券营业部,73448416.0,1.08,46253137.0,0.68,27195279.0,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,62428928.38,0.92,73848620.68,1.09,-11419692.3,0,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,中信证券股份有限公司浙江分公司,55267878.0,1.72,22308069.0,0.69,32959809.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,深股通专用,47138133.0,1.46,151083633.0,4.69,-103945500.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,机构专用,41501556.0,1.29,4529361.0,0.14,36972195.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,广发证券股份有限公司深圳深南东路证券营业部,40093243.0,1.25,748035.0,0.02,39345208.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,联储证券股份有限公司重庆江北嘴证券营业部,34500424.0,1.07,54618.0,0.0,34445806.0,0,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,深股通专用,220750376.22,3.26,213553455.0,3.15,7196921.22,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,深股通专用,47138133.0,1.46,151083633.0,4.69,-103945500.0,1,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,100107743.0,1.48,102667858.0,1.52,-2560115.0,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,国泰海通证券股份有限公司上海长宁区江苏路证券营业部,874991.0,0.03,101220933.0,3.14,-100345942.0,1,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,62428928.38,0.92,73848620.68,1.09,-11419692.3,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,广发证券股份有限公司汕头金砂路证券营业部,332975.0,0.0,73750777.0,1.09,-73417802.0,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,61488579.0,0.91,62859020.41,0.93,-1370441.41,1,连续三个交易日内，涨幅偏离值累计达到20%的证券
20250617,002104.SZ,东莞证券股份有限公司四川分公司,2304385.0,0.07,30805771.0,0.96,-28501386.0,1,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,27750963.38,0.86,29110311.0,0.9,-1359347.62,1,日涨幅偏离值达到7%的前5只证券
20250617,002104.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,33174144.0,1.03,26860684.38,0.83,6313459.62,1,日涨幅偏离值达到7%的前5只证券
20250617,002141.SZ,中国银河证券股份有限公司青田龙津路证券营业部,9938379.0,2.17,0.0,0.0,9938379.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,机构专用,8634825.0,1.89,8347539.5,1.82,287285.5,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,中国银河证券股份有限公司南京江宁金箔路证券营业部,8331620.0,1.82,4141486.0,0.9,4190134.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,华泰证券股份有限公司杭州学院路证券营业部,6239550.0,1.36,8000.0,0.0,6231550.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,机构专用,6039546.0,1.32,4296369.0,0.94,1743177.0,0,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,光大证券股份有限公司东莞常平大道证券营业部,268250.0,0.06,8657997.0,1.89,-8389747.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,机构专用,8634825.0,1.89,8347539.5,1.82,287285.5,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,中泰证券股份有限公司招远温泉路证券营业部,4503993.0,0.98,7410406.0,1.62,-2906413.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,国金证券股份有限公司深圳分公司,4308516.0,0.94,7410112.0,1.62,-3101596.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002141.SZ,东北证券股份有限公司揭阳临江南路证券营业部,1529999.0,0.33,6444778.0,1.41,-4914779.0,1,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
20250617,002177.SZ,机构专用,72417790.78,3.43,36368917.0,1.72,36048873.78,0,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,51619985.0,2.45,100872042.4,4.78,-49252057.4,0,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,36477637.0,1.73,24597327.0,1.17,11880310.0,0,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,25904433.0,1.23,32491936.91,1.54,-6587503.91,0,日换手率达到20%的前5只证券
20250617,002177.SZ,中国银河证券股份有限公司北京中关村大街证券营业部,21374264.0,1.01,14855308.0,0.7,6518956.0,0,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,51619985.0,2.45,100872042.4,4.78,-49252057.4,1,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,72417790.78,3.43,36368917.0,1.72,36048873.78,1,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,25904433.0,1.23,32491936.91,1.54,-6587503.91,1,日换手率达到20%的前5只证券
20250617,002177.SZ,中国国际金融股份有限公司上海分公司,17000706.0,0.81,27178993.0,1.29,-10178287.0,1,日换手率达到20%的前5只证券
20250617,002177.SZ,机构专用,36477637.0,1.73,24597327.0,1.17,11880310.0,1,日换手率达到20%的前5只证券
20250617,002181.SZ,深股通专用,91935633.96,2.41,69798946.86,1.83,22136687.1,0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,45466842.8,1.19,46796398.72,1.23,-1329555.92,0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,40835566.0,1.07,34087377.0,0.89,6748189.0,0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,38063022.0,1.0,32613598.27,0.85,5449423.73,0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,东方财富证券股份有限公司拉萨团结路第二证券营业部,34685732.14,0.91,30204523.04,0.79,4481209.1,0,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,深股通专用,91935633.96,2.41,69798946.86,1.83,22136687.1,1,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,粤开证券股份有限公司潮州潮州大道证券营业部,23103.0,0.0,58295674.0,1.53,-58272571.0,1,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,45466842.8,1.19,46796398.72,1.23,-1329555.92,1,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,机构专用,26061428.0,0.68,44926938.32,1.18,-18865510.32,1,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002181.SZ,国泰海通证券股份有限公司成都北一环路证券营业部,368863.0,0.01,35909562.0,0.94,-35540699.0,1,连续三个交易日内，跌幅偏离值累计达到20%的证券
20250617,002235.SZ,机构专用,34311775.54,2.03,32735502.47,1.93,1576273.07,0,日振幅值达到15%的前5只证券
20250617,002235.SZ,机构专用,34311775.54,2.03,32735502.47,1.93,1576273.07,0,日换手率达到20%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,18049414.27,1.07,17004390.58,1.0,1045023.69,0,日振幅值达到15%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,18049414.27,1.07,17004390.58,1.0,1045023.69,0,日换手率达到20%的前5只证券
20250617,002235.SZ,机构专用,17995176.0,1.06,16296929.0,0.96,1698247.0,0,日振幅值达到15%的前5只证券
20250617,002235.SZ,机构专用,17995176.0,1.06,16296929.0,0.96,1698247.0,0,日换手率达到20%的前5只证券
20250617,002235.SZ,国金证券股份有限公司深圳分公司,17722855.92,1.05,7253577.0,0.43,10469278.92,0,日振幅值达到15%的前5只证券
20250617,002235.SZ,国金证券股份有限公司深圳分公司,17722855.92,1.05,7253577.0,0.43,10469278.92,0,日换手率达到20%的前5只证券
20250617,002235.SZ,机构专用,17202217.0,1.02,2738935.0,0.16,14463282.0,0,日振幅值达到15%的前5只证券
20250617,002235.SZ,机构专用,17202217.0,1.02,2738935.0,0.16,14463282.0,0,日换手率达到20%的前5只证券
20250617,002235.SZ,机构专用,34311775.54,2.03,32735502.47,1.93,1576273.07,1,日振幅值达到15%的前5只证券
20250617,002235.SZ,机构专用,34311775.54,2.03,32735502.47,1.93,1576273.07,1,日换手率达到20%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,18049414.27,1.07,17004390.58,1.0,1045023.69,1,日振幅值达到15%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨金融城南环路证券营业部,18049414.27,1.07,17004390.58,1.0,1045023.69,1,日换手率达到20%的前5只证券
20250617,002235.SZ,机构专用,17995176.0,1.06,16296929.0,0.96,1698247.0,1,日振幅值达到15%的前5只证券
20250617,002235.SZ,机构专用,17995176.0,1.06,16296929.0,0.96,1698247.0,1,日换手率达到20%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,16814498.0,0.99,16186483.97,0.96,628014.03,1,日振幅值达到15%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨东环路第二证券营业部,16814498.0,0.99,16186483.97,0.96,628014.03,1,日换手率达到20%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,14850497.25,0.88,15548296.25,0.92,-697799.0,1,日振幅值达到15%的前5只证券
20250617,002235.SZ,东方财富证券股份有限公司拉萨团结路第一证券营业部,14850497.25,0.88,15548296.25,0.92,-697799.0,1,日换手率达到20%的前5只证券
20250617,002294.SZ,深股通专用,46441720.87,5.19,36586756.0,4.09,9854964.87,0,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,19419077.81,2.17,0.0,0.0,19419077.81,0,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,18241728.0,2.04,0.0,0.0,18241728.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,16716238.0,1.87,1040433.0,0.12,15675805.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,13609619.0,1.52,0.0,0.0,13609619.0,0,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,深股通专用,46441720.87,5.19,36586756.0,4.09,9854964.87,1,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,0.0,0.0,35700351.0,3.99,-35700351.0,1,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,0.0,0.0,31307505.0,3.5,-31307505.0,1,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,0.0,0.0,28866774.0,3.23,-28866774.0,1,日跌幅偏离值达到7%的前5只证券
20250617,002294.SZ,机构专用,0.0,0.0,22915032.0,2.56,-22915032.0,1,日跌幅偏离值达到7%的前5只证券
20250617,002336.SZ,国金证券股份有限公司上海互联网证券分公司,450000.0,28.6,0.0,0.0,450000.0,0,退市整理期
20250617,002336.SZ,海通证券股份有限公司哈尔滨和兴路证券营业部,226125.0,14.37,0.0,0.0,226125.0,0,退市整理期
20250617,002336.SZ,浙商证券股份有限公司绍兴解放北路证券营业部,157140.0,9.99,0.0,0.0,157140.0,0,退市整理期
