游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300164.SZ,通源石油,"3,968,351.00","25,148,362.00","-21,180,011.00",净卖出,华泰证券股份有限公司江阴福泰路证券营业部
,002678.SZ,珠江钢琴,"829,143.00","21,778,654.00","-20,949,511.00",净卖出,平安证券股份有限公司福州长乐北路证券营业部
,603585.SH,苏利股份,,"16,507,069.00","-16,507,069.00",净卖出,华泰证券股份有限公司江阴福泰路证券营业部
,000525.SZ,红太阳,"5,123,355.00","14,807,944.00","-9,684,589.00",净卖出,平安证券股份有限公司福州长乐北路证券营业部
,603222.SH,济民健康,,"4,542,864.00","-4,542,864.00",净卖出,中国银河证券股份有限公司杭州建国北路证券营业部
,600405.SH,动力源,,"3,984,607.00","-3,984,607.00",净卖出,中信证券股份有限公司温岭万昌中路证券营业部
,,,,,,,
【炒新一族】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002336.SZ,人乐退,"88,740.00",,"88,740.00",净买入,华泰证券股份有限公司上海武定路证券营业部
,,,,,,,
【炒股养家】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605198.SH,安德利,,"7,573,002.00","-7,573,002.00",净卖出,华鑫证券有限责任公司上海宛平南路证券营业部
,002336.SZ,人乐退,"157,140.00",,"157,140.00",净买入,浙商证券股份有限公司绍兴解放北路证券营业部
,,,,,,,
【益田路】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002828.SZ,贝肯能源,"109,890.00","19,254,578.00","-19,144,688.00",净卖出,华鑫证券有限责任公司深圳益田路证券营业部
,603716.SH,塞力医疗,"15,383,718.00",,"15,383,718.00",净买入,华鑫证券有限责任公司深圳益田路证券营业部
,600792.SH,云煤能源,,"12,513,890.16","-12,513,890.16",净卖出,华鑫证券有限责任公司深圳益田路证券营业部
,,,,,,,
【苏南帮】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,301357.SZ,北方长龙,"95,725.00","13,031,095.00","-12,935,370.00",净卖出,中国银河证券股份有限公司北京学院南路证券营业部
,,,,,,,
【赵老哥】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002828.SZ,贝肯能源,"849,818.00","27,828,170.00","-26,978,352.00",净卖出,中国银河证券股份有限公司绍兴证券营业部
,,,,,,,
【越王大道】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,301141.SZ,中科磁业,"6,500.00","33,405,031.00","-33,398,531.00",净卖出,国泰海通证券股份有限公司河源越王大道证券营业部
,,,,,,,
【量化基金】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,600281.SH,华阳新材,,"32,212,641.15","-32,212,641.15",净卖出,中信证券股份有限公司上海分公司
,601975.SH,招商南油,,"25,137,029.34","-25,137,029.34",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,688291.SH,金橙子,"24,030,301.87",,"24,030,301.87",净买入,中信证券股份有限公司上海分公司
,688291.SH,金橙子,"23,395,925.61",,"23,395,925.61",净买入,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,603322.SH,超讯通信,,"20,172,271.00","-20,172,271.00",净卖出,中国国际金融股份有限公司北京建国门外大街证券营业部
,603538.SH,美诺华,,"19,810,216.96","-19,810,216.96",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,688573.SH,信宇人,,"18,940,490.66","-18,940,490.66",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,600798.SH,宁波海运,,"16,591,474.00","-16,591,474.00",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,601718.SH,际华集团,,"15,947,455.00","-15,947,455.00",净卖出,中信证券股份有限公司上海分公司
,002731.SZ,萃华珠宝,"23,637,685.00","8,530,672.00","15,107,013.00",净买入,中国国际金融股份有限公司上海分公司
,600980.SH,北矿科技,"47,482,596.00","62,545,403.00","-15,062,807.00",净卖出,国泰海通证券股份有限公司总部
,600405.SH,动力源,"14,586,013.00",,"14,586,013.00",净买入,华泰证券股份有限公司总部
,600281.SH,华阳新材,,"14,083,328.20","-14,083,328.20",净卖出,中国国际金融股份有限公司北京建国门外大街证券营业部
,603716.SH,塞力医疗,,"13,347,316.57","-13,347,316.57",净卖出,中国国际金融股份有限公司上海分公司
,300164.SZ,通源石油,"28,854,679.00","15,678,646.00","13,176,033.00",净买入,中国国际金融股份有限公司上海分公司
,603538.SH,美诺华,,"12,863,323.84","-12,863,323.84",净卖出,中国国际金融股份有限公司上海分公司
,600792.SH,云煤能源,,"10,942,193.00","-10,942,193.00",净卖出,国泰海通证券股份有限公司总部
,603538.SH,美诺华,,"10,862,490.12","-10,862,490.12",净卖出,国泰海通证券股份有限公司总部
,002177.SZ,御银股份,"17,000,706.00","27,178,993.00","-10,178,287.00",净卖出,中国国际金融股份有限公司上海分公司
,600980.SH,北矿科技,"16,205,154.00","25,277,239.30","-9,072,085.30",净卖出,摩根大通证券(中国)有限公司上海银城中路证券营业部
,601022.SH,宁波远洋,,"9,021,225.00","-9,021,225.00",净卖出,中信证券股份有限公司上海分公司
,600227.SH,赤天化,"8,853,651.00",,"8,853,651.00",净买入,国泰海通证券股份有限公司总部
,600980.SH,北矿科技,"31,492,996.00","40,305,071.00","-8,812,075.00",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,600281.SH,华阳新材,"70,786,310.28","62,467,862.46","8,318,447.82",净买入,国泰海通证券股份有限公司总部
,300157.SZ,新锦动力,"9,714,461.00","17,614,757.00","-7,900,296.00",净卖出,中国国际金融股份有限公司上海分公司
,301357.SZ,北方长龙,"8,119,487.00","618,783.00","7,500,704.00",净买入,中国国际金融股份有限公司上海分公司
,605198.SH,安德利,,"7,056,288.20","-7,056,288.20",净卖出,国泰海通证券股份有限公司总部
,603585.SH,苏利股份,"21,633,766.73","28,035,532.00","-6,401,765.27",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,300581.SZ,晨曦航空,"57,741,793.00","51,488,780.00","6,253,013.00",净买入,中国国际金融股份有限公司上海分公司
,688573.SH,信宇人,"4,924,351.07","11,001,811.88","-6,077,460.81",净卖出,国泰海通证券股份有限公司总部
,605198.SH,安德利,,"6,015,526.00","-6,015,526.00",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,600980.SH,北矿科技,"24,875,480.00","18,948,037.96","5,927,442.04",净买入,中国国际金融股份有限公司北京建国门外大街证券营业部
,603124.SH,江南新材,,"5,603,403.29","-5,603,403.29",净卖出,中信证券股份有限公司上海分公司
,688573.SH,信宇人,,"5,523,342.02","-5,523,342.02",净卖出,中国国际金融股份有限公司北京建国门外大街证券营业部
,603124.SH,江南新材,"4,571,225.00","10,045,754.36","-5,474,529.36",净卖出,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,603124.SH,江南新材,,"5,128,590.08","-5,128,590.08",净卖出,中国国际金融股份有限公司上海分公司
,600227.SH,赤天化,,"5,102,030.00","-5,102,030.00",净卖出,中国国际金融股份有限公司北京建国门外大街证券营业部
,600281.SH,华阳新材,"53,068,472.32","50,117,606.00","2,950,866.32",净买入,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,603716.SH,塞力医疗,"13,826,103.00","11,408,771.59","2,417,331.41",净买入,国泰海通证券股份有限公司总部
,600798.SH,宁波海运,"26,374,561.00","28,408,523.00","-2,033,962.00",净卖出,国泰海通证券股份有限公司总部
,603585.SH,苏利股份,"19,742,558.00","17,766,901.21","1,975,656.79",净买入,国泰海通证券股份有限公司总部
,603222.SH,济民健康,"3,322,844.00","1,928,697.00","1,394,147.00",净买入,瑞银证券有限责任公司上海浦东新区花园石桥路第二证券营业部
,301665.SZ,泰禾股份,"7,194,917.00","5,911,480.00","1,283,437.00",净买入,中国国际金融股份有限公司上海分公司
,,,,,,,
【量化打板】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300773.SZ,拉卡拉,"105,026,980.00","823,131.00","104,203,849.00",净买入,开源证券股份有限公司西安太华路证券营业部
,300016.SZ,北陆药业,"38,343,577.00",,"38,343,577.00",净买入,开源证券股份有限公司西安太华路证券营业部
,002878.SZ,元隆雅图,"72,864.00","38,271,847.00","-38,198,983.00",净卖出,开源证券股份有限公司西安太华路证券营业部
,300753.SZ,爱朋医疗,"33,076,692.00",,"33,076,692.00",净买入,开源证券股份有限公司西安太华路证券营业部
,300753.SZ,爱朋医疗,"24,532,128.00","26,464.00","24,505,664.00",净买入,华鑫证券有限责任公司上海分公司
,000554.SZ,泰山石油,,"21,742,173.00","-21,742,173.00",净卖出,开源证券股份有限公司西安太华路证券营业部
,300941.SZ,创识科技,"21,636,787.00","73,131.00","21,563,656.00",净买入,华鑫证券有限责任公司上海分公司
,002828.SZ,贝肯能源,,"18,200,750.00","-18,200,750.00",净卖出,开源证券股份有限公司西安太华路证券营业部
,603716.SH,塞力医疗,"16,551,209.06",,"16,551,209.06",净买入,华鑫证券有限责任公司上海分公司
,002017.SZ,东信和平,"5,159,203.00","21,630,735.00","-16,471,532.00",净卖出,开源证券股份有限公司西安太华路证券营业部
,300016.SZ,北陆药业,"15,924,195.00",,"15,924,195.00",净买入,华鑫证券有限责任公司成都交子大道证券营业部
,002678.SZ,珠江钢琴,"38,276,274.00","52,655,264.00","-14,378,990.00",净卖出,开源证券股份有限公司西安太华路证券营业部
,600227.SH,赤天化,"12,957,614.36",,"12,957,614.36",净买入,中泰证券股份有限公司常州惠国路证券营业部
,600405.SH,动力源,"12,519,650.00",,"12,519,650.00",净买入,中泰证券股份有限公司常州惠国路证券营业部
,300016.SZ,北陆药业,"12,552,883.00","185,808.00","12,367,075.00",净买入,中泰证券股份有限公司常州惠国路证券营业部
,600792.SH,云煤能源,,"12,162,093.00","-12,162,093.00",净卖出,开源证券股份有限公司西安西大街证券营业部
,600227.SH,赤天化,"10,703,343.00",,"10,703,343.00",净买入,开源证券股份有限公司西安西大街证券营业部
,603222.SH,济民健康,"10,703,216.00",,"10,703,216.00",净买入,开源证券股份有限公司西安西大街证券营业部
,603222.SH,济民健康,"3,426,240.00",,"3,426,240.00",净买入,中泰证券股份有限公司西安锦业路证券营业部
,,,,,,,
【量化抢筹】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300157.SZ,新锦动力,"24,365,275.00","85,158.00","24,280,117.00",净买入,中国银河证券股份有限公司北京中关村大街证券营业部
,000554.SZ,泰山石油,"287,463.00","9,847,154.00","-9,559,691.00",净卖出,中国银河证券股份有限公司北京中关村大街证券营业部
,002177.SZ,御银股份,"21,374,264.00","14,855,308.00","6,518,956.00",净买入,中国银河证券股份有限公司北京中关村大街证券营业部
,,,,,,,
【鑫多多】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,605198.SH,安德利,"4,054,447.00",,"4,054,447.00",净买入,中泰证券股份有限公司烟台正阳路证券营业部
,,,,,,,
【陈小群】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,300773.SZ,拉卡拉,"113,293,136.00","1,236,305.00","112,056,831.00",净买入,中国银河证券股份有限公司大连黄河路证券营业部
,002951.SZ,金时科技,"29,944.00","48,393,217.00","-48,363,273.00",净卖出,中国银河证券股份有限公司大连黄河路证券营业部
,002878.SZ,元隆雅图,"28,009,610.00","13,019.00","27,996,591.00",净买入,中国银河证券股份有限公司大连黄河路证券营业部
