游资名称,股票代码,股票名称,买入金额,卖出金额,净交易金额,交易方向,营业部
【N周二】,───────────────,───────────────,───────────────,───────────────,───────────────,────────,────────────────────
,002878.SZ,元隆雅图,"24,011,191.00","19,480,368.00","4,530,823.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,603124.SH,江南新材,"4,507,875.00",,"4,507,875.00",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002181.SZ,粤 传 媒,"34,685,732.00","30,204,523.00","4,481,209.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,603124.SH,江南新材,"4,383,954.00",,"4,383,954.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,833171.BJ,国航远洋,"14,430,833.17","10,110,253.32","4,320,579.85",净买入,东方财富证券股份有限公司拉萨东城区江苏大道证券营业部
,000554.SZ,泰山石油,"12,379,247.00","8,192,732.00","4,186,515.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,000701.SZ,厦门信达,"14,981,362.00","10,906,307.00","4,075,055.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,300546.SZ,雄帝科技,"19,681,852.00","15,707,328.00","3,974,524.00",净买入,东方财富证券股份有限公司拉萨东城区江苏大道证券营业部
,605099.SH,共创草坪,"6,220,613.00","10,179,629.00","-3,959,016.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,002366.SZ,融发核电,"28,165,022.00","31,764,755.00","-3,599,733.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,833171.BJ,国航远洋,"17,765,728.59","21,216,259.08","-3,450,530.49",净卖出,东方财富证券股份有限公司拉萨团结路第一证券营业部
,000701.SZ,厦门信达,"16,774,892.00","13,498,553.00","3,276,339.00",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,000554.SZ,泰山石油,"11,586,322.00","8,565,068.00","3,021,254.00",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,000701.SZ,厦门信达,"14,869,375.00","11,873,320.00","2,996,055.00",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,920088.BJ,科力股份,"11,435,245.26","8,439,305.29","2,995,939.97",净买入,东方财富证券股份有限公司拉萨东环路第一证券营业部
,300546.SZ,雄帝科技,"23,422,136.00","26,354,355.00","-2,932,219.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,839719.BJ,宁新新材,"8,020,493.07","5,097,882.91","2,922,610.16",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,300157.SZ,新锦动力,"15,202,369.00","18,018,548.00","-2,816,179.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,839719.BJ,宁新新材,"6,085,748.79","3,310,497.53","2,775,251.26",净买入,东方财富证券股份有限公司拉萨团结路第一证券营业部
,002366.SZ,融发核电,"26,931,654.00","29,669,267.00","-2,737,613.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,002898.SZ,*ST赛隆,"4,427,934.00","1,766,842.00","2,661,092.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,301357.SZ,北方长龙,"2,425,894.00","5,060,225.00","-2,634,331.00",净卖出,东方财富证券股份有限公司拉萨金融城南环路证券营业部
,301357.SZ,北方长龙,"3,755,654.00","6,139,658.00","-2,384,004.00",净卖出,东方财富证券股份有限公司拉萨东环路第二证券营业部
,839719.BJ,宁新新材,"8,710,426.40","6,566,198.27","2,144,228.13",净买入,东方财富证券股份有限公司拉萨东环路第二证券营业部
,300468.SZ,四方精创,"167,629,079.00","169,458,152.00","-1,829,073.00",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,301141.SZ,中科磁业,"12,410,230.00","10,646,523.00","1,763,707.00",净买入,东方财富证券股份有限公司拉萨团结路第二证券营业部
,002554.SZ,惠博普,"3,582,783.00","5,297,568.00","-1,714,785.00",净卖出,东方财富证券股份有限公司拉萨团结路第二证券营业部
,920088.BJ,科力股份,"9,894,932.58","8,191,738.06","1,703,194.52",净买入,东方财富证券股份有限公司拉萨金融城南环路证券营业部
