id,created,updated,hm_name,trade_date,hm_orgs,ts_code,ts_name,buy_amount,sell_amount,net_amount,tag
150590,2025-06-18 10:23:02.539198,2025-06-18 10:23:02.539208,量化基金,20250617,中国国际金融股份有限公司上海分公司,603538.SH,美诺华,0.0,12863323.84,-12863323.84,
150591,2025-06-18 10:23:02.539290,2025-06-18 10:23:02.539300,量化基金,20250617,中国国际金融股份有限公司上海分公司,002177.SZ,御银股份,17000706.0,27178993.0,-10178287.0,
150592,2025-06-18 10:23:02.539380,2025-06-18 10:23:02.539390,量化基金,20250617,中国国际金融股份有限公司上海分公司,301357.SZ,北方长龙,8119487.0,618783.0,7500704.0,
150593,2025-06-18 10:23:02.539471,2025-06-18 10:23:02.539483,量化基金,20250617,中国国际金融股份有限公司上海分公司,301665.SZ,泰禾股份,7194917.0,5911480.0,1283437.0,
150594,2025-06-18 10:23:02.539682,2025-06-18 10:23:02.539703,量化基金,20250617,中国国际金融股份有限公司上海分公司,603124.SH,江南新材,0.0,5128590.08,-5128590.08,
150595,2025-06-18 10:23:02.539790,2025-06-18 10:23:02.539808,量化基金,20250617,中国国际金融股份有限公司上海分公司,603716.SH,塞力医疗,0.0,13347316.57,-13347316.57,
150596,2025-06-18 10:23:02.539893,2025-06-18 10:23:02.539904,量化基金,20250617,中国国际金融股份有限公司上海分公司,300157.SZ,新锦动力,9714461.0,17614757.0,-7900296.0,
150597,2025-06-18 10:23:02.539986,2025-06-18 10:23:02.539996,量化基金,20250617,中国国际金融股份有限公司上海分公司,300164.SZ,通源石油,28854679.0,15678646.0,13176033.0,
150598,2025-06-18 10:23:02.540078,2025-06-18 10:23:02.540088,量化基金,20250617,中国国际金融股份有限公司上海分公司,300581.SZ,晨曦航空,57741793.0,51488780.0,6253013.0,
150599,2025-06-18 10:23:02.540170,2025-06-18 10:23:02.540180,量化基金,20250617,中国国际金融股份有限公司北京建国门外大街证券营业部,600227.SH,赤天化,0.0,5102030.0,-5102030.0,
150600,2025-06-18 10:23:02.540262,2025-06-18 10:23:02.540272,量化基金,20250617,中国国际金融股份有限公司北京建国门外大街证券营业部,600980.SH,北矿科技,24875480.0,18948037.96,5927442.04,
150601,2025-06-18 10:23:02.540353,2025-06-18 10:23:02.540363,量化基金,20250617,中国国际金融股份有限公司北京建国门外大街证券营业部,603322.SH,超讯通信,0.0,20172271.0,-20172271.0,
150602,2025-06-18 10:23:02.540445,2025-06-18 10:23:02.540455,量化基金,20250617,中国国际金融股份有限公司北京建国门外大街证券营业部,600281.SH,华阳新材,0.0,14083328.2,-14083328.2,
150603,2025-06-18 10:23:02.540537,2025-06-18 10:23:02.540547,量化基金,20250617,中国国际金融股份有限公司北京建国门外大街证券营业部,688573.SH,信宇人,0.0,5523342.02,-5523342.02,
150604,2025-06-18 10:23:02.540629,2025-06-18 10:23:02.540638,量化基金,20250617,华泰证券股份有限公司总部,600405.SH,动力源,14586013.0,0.0,14586013.0,
150605,2025-06-18 10:23:02.540719,2025-06-18 10:23:02.540729,量化基金,20250617,国泰海通证券股份有限公司总部,600227.SH,赤天化,8853651.0,0.0,8853651.0,
150606,2025-06-18 10:23:02.540811,2025-06-18 10:23:02.540821,量化基金,20250617,国泰海通证券股份有限公司总部,600980.SH,北矿科技,47482596.0,62545403.0,-15062807.0,
150607,2025-06-18 10:23:02.540902,2025-06-18 10:23:02.540912,量化基金,20250617,国泰海通证券股份有限公司总部,605198.SH,安德利,0.0,7056288.2,-7056288.2,
150608,2025-06-18 10:23:02.540993,2025-06-18 10:23:02.541003,量化基金,20250617,国泰海通证券股份有限公司总部,600281.SH,华阳新材,70786310.28,62467862.46,8318447.82,
150609,2025-06-18 10:23:02.541085,2025-06-18 10:23:02.541095,量化基金,20250617,国泰海通证券股份有限公司总部,600792.SH,云煤能源,0.0,10942193.0,-10942193.0,
150610,2025-06-18 10:23:02.541176,2025-06-18 10:23:02.541185,量化基金,20250617,国泰海通证券股份有限公司总部,600798.SH,宁波海运,26374561.0,28408523.0,-2033962.0,
150611,2025-06-18 10:23:02.541267,2025-06-18 10:23:02.541276,量化基金,20250617,国泰海通证券股份有限公司总部,603538.SH,美诺华,0.0,10862490.12,-10862490.12,
